column,block,source_file_line,definition,grain,source_records,event_subset,window,statistic,denominator_exposure,zero_semantics,missing_semantics,asof_rule,coding_era_dependence,intended_model_families,est_compute_cost,parity_class,parity_evidence
prev_cycle_outcome_band,B0,"autosafe/feature_engineering_v55.py:247,249,251,253",Band of the single most recent prior test RECORD's result: pass / fail / unknown / first_test.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",pass|fail,latest_test,latest,n/a,'first_test' level for 0 priors; ABANDONED collapses into 'unknown' and PRS into 'pass',no separate missing level,"as-of SAFE but D13-UNSAFE: the module reads tests[0] after a DATE-ONLY stable sort (autosafe/feature_engineering_v55.py:221), so the value depends on WITHIN-DAY record order, which this programme declares unidentified (FACTORY_CONTRACT.md:72-74)",none,tree-native categorical (CatBoost/LightGBM cat_features); MLP/RealMLP and context models need an explicit encoder (fit_contract.py:249-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",unsafe_ambiguous,D13-safe twins already exist: b5_last_day_has_pass / b5_last_day_has_fail (factory/blocks.py:186-187)
gap_band,B0,"autosafe/feature_engineering_v55.py:258,261",Band of the number of days BETWEEN the two most recent prior tests (early/on_time/slightly_late/late/very_late/first_test).,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",prior_test,between_2_most_recent_priors,band,n/a,'first_test' level for <2 priors,n/a,"as-of SAFE but D13-UNSAFE: the module reads tests[0] after a DATE-ONLY stable sort (autosafe/feature_engineering_v55.py:221), so the value depends on WITHIN-DAY record order, which this programme declares unidentified (FACTORY_CONTRACT.md:72-74)",none,tree-native categorical (CatBoost/LightGBM cat_features); MLP/RealMLP and context models need an explicit encoder (fit_contract.py:249-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",unsafe_ambiguous,NOT recency at prediction time: it bands the gap BETWEEN the two most recent priors (autosafe/feature_engineering_v55.py:256-259). The recency cell is filled by b5_days_since_prior_day (factory/blocks.py:190)
make,B0,autosafe/feature_engineering_v55.py:241,"Vehicle make as recorded on the target row, passed through as a categorical.",target row (vehicle attribute),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",vehicle_attribute,none,latest,n/a,n/a,n/a categorical,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)",none,tree-native categorical (CatBoost/LightGBM cat_features); MLP/RealMLP and context models need an explicit encoder (fit_contract.py:249-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",different_window_or_semantics,NON-CUBE: vehicle attribute; occupies no history-cube cell
advisory_trend,B0,"autosafe/feature_engineering_v55.py:330,332,334,336",Three-level comparison of the advisory item count on the most recent prior test vs the one before it (increasing/decreasing/stable/unknown).,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",advisory,lag1_2_most_recent_priors,amplitude_categorical,n/a,n/a,'unknown' level for <2 priors,"as-of SAFE but D13-UNSAFE: the module reads tests[0] after a DATE-ONLY stable sort (autosafe/feature_engineering_v55.py:221), so the value depends on WITHIN-DAY record order, which this programme declares unidentified (FACTORY_CONTRACT.md:72-74)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",tree-native categorical (CatBoost/LightGBM cat_features); MLP/RealMLP and context models need an explicit encoder (fit_contract.py:249-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",unsafe_ambiguous,"3-level DIRECTION at lag 1 (autosafe/feature_engineering_v55.py:326-336); categorical, so no magnitude survives"
test_mileage,B0,"autosafe/feature_engineering_v55.py:286,291","Odometer reading on the most recent prior test, sentinel-filled with 50000 when absent.",vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",mileage_reading,latest_test,latest,n/a,"0 is a real reading, not a missing marker","in-range sentinel 50000 when absent (autosafe/feature_engineering_v55.py:87,291); flagged by has_prev_mileage","as-of SAFE but D13-UNSAFE: the module reads tests[0] after a DATE-ONLY stable sort (autosafe/feature_engineering_v55.py:221), so the value depends on WITHIN-DAY record order, which this programme declares unidentified (FACTORY_CONTRACT.md:72-74)","YES: pre-2022 test_mileage is unit-ambiguous (km contamination, no unit column, docs/v58/assessment_2026_08/DATA_ASSESSMENT.md:170-172) and the runner hardcodes odometer_unit='mi' (factory/runners/b0_module_runner.py:121), so the module's km->mi branch never fires. flat4y spans 2020-2023, straddling the 2022 upstream correction",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",unsafe_ambiguous,in-range sentinel plus unit ambiguity plus tests[0]-only read
prev_count_advisory,B0,autosafe/feature_engineering_v55.py:323,Total advisory defect items across all prior tests.,vehicle x prior ITEM,"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",advisory,lifetime,count,raw count,0 = no advisory items,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",duplicate_redundant,"the same item set as b3_n_advisory_items (factory/blocks.py:156), up to the ""'advisory' in str(defect)"" escape clause (autosafe/feature_engineering_v55.py:308) which also catches the 'Non-component advisories' section. CORROBORATED: both range [0..402] on flat4y/r1m"
days_since_last_test,B0,"autosafe/feature_engineering_v55.py:259,262",Days between the two most recent prior tests; 0 when fewer than two priors.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",prior_test,between_2_most_recent_priors,recency_days,days,0 = fewer than 2 priors AND 0 = two priors on the same day,no missing marker,"as-of SAFE but D13-UNSAFE: the module reads tests[0] after a DATE-ONLY stable sort (autosafe/feature_engineering_v55.py:221), so the value depends on WITHIN-DAY record order, which this programme declares unidentified (FACTORY_CONTRACT.md:72-74)",none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",unsafe_ambiguous,"misnamed: it is the prior INTER-TEST gap (autosafe/feature_engineering_v55.py:257), not tgt_date minus the last prior. True recency is b5_days_since_prior_day (factory/blocks.py:190). CORROBORATED: its measured max (5916) equals b1_max_gap_days exactly, while b5_days_since_prior_day maxes at 6450"
prior_fail_rate_smoothed,B0,"autosafe/feature_engineering_v55.py:404,406",Prior test RECORDS with result FAILED divided by all prior test records; 0.0 without priors.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",fail,lifetime,rate,per prior test RECORD,0.0 = never failed AND 0.0 = no priors; n_prior_tests disambiguates,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)",none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,not smoothed - a raw ratio (autosafe/feature_engineering_v55.py:403-406); both raw terms ship
n_prior_tests,B0,autosafe/feature_engineering_v55.py:400,"Count of prior test RECORDS in the packet list (all results, retests included).",vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",prior_test,lifetime,count,raw count,0 = no priors,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)",none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",duplicate_redundant,"identical to b1_n_prior_tests (factory/blocks.py:87): both count prior test RECORDS on strictly earlier days (factory/state.py:336 vs factory/state.py:476 + factory/packets.py:139-160), and no --max-priors trim is used in queue.txt. CORROBORATED: both range [0..48] on flat4y/r1m"
make_fail_rate_smoothed,B0,"autosafe/feature_engineering_v55.py:692,694,728",Fleet fail rate for the make; falls back to the 0.28 base rate when no hierarchical artefact is supplied.,fleet cell (make),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",fleet_prior,lifetime,rate,fleet cell,n/a,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)",none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",absent,"CONSTANT 0.28 in the adopted frame: no model_hierarchical / segment_hierarchical is passed (factory/runners/b0_module_runner.py:136-138) so the base_rate branch fires (autosafe/feature_engineering_v55.py:728-729,781). eb_fleet_builder replaces only the three *_eb columns (out/b0/b0_flat4y_eb.parquet.manifest.json 'replaced_columns'). MEASURED flat4y/r1m n=999,999: range [0.28 .. 0.28], NULL 0.000%"
segment_fail_rate_smoothed,B0,"autosafe/feature_engineering_v55.py:776,779,781","Fleet fail rate for the (make, age band, mileage band) segment; base-rate fallback.",fleet cell (make x age band x mileage band),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",fleet_prior,lifetime,rate,fleet cell,n/a,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)",none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",absent,"CONSTANT 0.28 in the adopted frame: no model_hierarchical / segment_hierarchical is passed (factory/runners/b0_module_runner.py:136-138) so the base_rate branch fires (autosafe/feature_engineering_v55.py:728-729,781). eb_fleet_builder replaces only the three *_eb columns (out/b0/b0_flat4y_eb.parquet.manifest.json 'replaced_columns'). MEASURED flat4y/r1m n=999,999: range [0.28 .. 0.28], NULL 0.000%"
model_fail_rate_smoothed,B0,"autosafe/feature_engineering_v55.py:685,687,729",Fleet fail rate for the model; base-rate fallback.,fleet cell (model),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",fleet_prior,lifetime,rate,fleet cell,n/a,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)",none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",absent,"CONSTANT 0.28 in the adopted frame: no model_hierarchical / segment_hierarchical is passed (factory/runners/b0_module_runner.py:136-138) so the base_rate branch fires (autosafe/feature_engineering_v55.py:728-729,781). eb_fleet_builder replaces only the three *_eb columns (out/b0/b0_flat4y_eb.parquet.manifest.json 'replaced_columns'). MEASURED flat4y/r1m n=999,999: range [0.28 .. 0.28], NULL 0.000%"
days_late,B0,"autosafe/feature_engineering_v55.py:621,623",Days between the target date and the synthesised expiry (last PASSED prior + 365 days); 0 when not late or no such prior.,vehicle x prior test RECORD (module reads the packet prior list newest-first),"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",prior_test,since_synthetic_expiry,recency_days,days,"0 = on time, 0 = no priors, and 0 = the most recent prior FAILED so no expiry was synthesised",no missing marker,"as-of SAFE but D13-UNSAFE: the module reads tests[0] after a DATE-ONLY stable sort (autosafe/feature_engineering_v55.py:221), so the value depends on WITHIN-DAY record order, which this programme declares unidentified (FACTORY_CONTRACT.md:72-74)",none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",unsafe_ambiguous,"the expiry date is SYNTHESISED as p_date + 365 days for PASSED priors only (factory/runners/b0_module_runner.py:116-118); the substrate carries no expiry field. MEASURED flat4y/r1m n=999,999: range [0.0 .. 6085.0], NULL 0.000%"
prev_adv_brakes,B0,autosafe/feature_engineering_v55.py:339,Advisory defect ITEMS across all priors whose catalogue section classifies to the brakes component.,vehicle x prior ITEM,"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",advisory:brakes,lifetime,count,raw count,0 = no advisory item classified to this component,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,"the ONLY per-family advisory ITEM count in the whole 241 (autosafe/feature_engineering_v55.py:339); 4 of the 5 serving components (structure has no prev_adv twin) and lifetime only. B2 carries per-category DAYS, never per-category items. defect text := catalogue SECTION name (factory/runners/b0_module_runner.py:78-85; queue.txt uses --defect-text-source section on all six B0 builds); the v58 lake carries NO defect free text (DATA_ASSESSMENT s4)"
prev_adv_suspension,B0,autosafe/feature_engineering_v55.py:340,Advisory defect ITEMS classifying to the suspension component.,vehicle x prior ITEM,"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",advisory:suspension,lifetime,count,raw count,0 = no advisory item classified to this component,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,"the ONLY per-family advisory ITEM count in the whole 241 (autosafe/feature_engineering_v55.py:340); 4 of the 5 serving components (structure has no prev_adv twin) and lifetime only. B2 carries per-category DAYS, never per-category items. defect text := catalogue SECTION name (factory/runners/b0_module_runner.py:78-85; queue.txt uses --defect-text-source section on all six B0 builds); the v58 lake carries NO defect free text (DATA_ASSESSMENT s4)"
prev_adv_steering,B0,autosafe/feature_engineering_v55.py:341,Advisory defect ITEMS classifying to the steering component.,vehicle x prior ITEM,"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",advisory:steering,lifetime,count,raw count,0 = no advisory item classified to this component,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,"the ONLY per-family advisory ITEM count in the whole 241 (autosafe/feature_engineering_v55.py:341); 4 of the 5 serving components (structure has no prev_adv twin) and lifetime only. B2 carries per-category DAYS, never per-category items. defect text := catalogue SECTION name (factory/runners/b0_module_runner.py:78-85; queue.txt uses --defect-text-source section on all six B0 builds); the v58 lake carries NO defect free text (DATA_ASSESSMENT s4)"
prev_adv_tyres,B0,autosafe/feature_engineering_v55.py:342,Advisory defect ITEMS classifying to the tyres component (tyres absorbs wheels).,vehicle x prior ITEM,"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",advisory:tyres,lifetime,count,raw count,0 = no advisory item classified to this component,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)","era-BRIDGED by design: severity->type first, disposition fallback (factory/runners/b0_module_runner.py:71-75), so pre-2018 F and post-2018 major both map to MAJOR; DANGEROUS and MINOR exist post-2018 only",all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",partial,"the ONLY per-family advisory ITEM count in the whole 241 (autosafe/feature_engineering_v55.py:342); 4 of the 5 serving components (structure has no prev_adv twin) and lifetime only. B2 carries per-category DAYS, never per-category items. defect text := catalogue SECTION name (factory/runners/b0_module_runner.py:78-85; queue.txt uses --defect-text-source section on all six B0 builds); the v58 lake carries NO defect free text (DATA_ASSESSMENT s4)"
mileage_cohort_ratio,B0,"autosafe/feature_engineering_v55.py:642,647,649,661",test_mileage divided by the cohort mean mileage; 1.0 when no cohort table is supplied.,constant,"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",mileage_reading,lifetime,rate,cohort mean mileage,n/a,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)",none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",absent,"CONSTANT 1.0 in the adopted frame: engineer_features is called with no cohort_stats (factory/runners/b0_module_runner.py:136-138) so the else-branch at autosafe/feature_engineering_v55.py:661 always fires. MEASURED flat4y/r1m n=999,999: range [1.0 .. 1.0], NULL 0.000%"
advisory_cohort_delta,B0,"autosafe/feature_engineering_v55.py:654,658,662",prev_count_advisory minus the cohort mean advisory count; 0.0 when no cohort table is supplied.,constant,"factory packets view (tgt_* + p_* + defects_json, factory/packets.py:53-58) -> feature_engineering_v55.engineer_features",advisory,lifetime,amplitude,cohort mean,n/a,n/a,"as-of SAFE: every packet prior carries p_date strictly < tgt_date, gated by factory/packets.py:161-174; prediction_date := tgt_date (factory/runners/b0_module_runner.py:138)",none,all: float64 with NaN for NULL (fit_contract.py:267-268),"low per row, but the whole B0 frame is a second pass over the LONG packets view (factory/runners/b0_module_runner.py:167-195), parallel over vehicles",absent,"CONSTANT 0.0: no cohort_stats is supplied so the else-branch at autosafe/feature_engineering_v55.py:662 always fires. MEASURED flat4y/r1m n=999,999: range [0.0 .. 0.0], NULL 0.000%"
