column,r1_class,verified_verdict,partitions_checked,evidence,file_line
advisory_cohort_delta,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=0.0. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.","autosafe/feature_engineering_v55.py:654,658,662"
b6_location_map_status,absent,CONFIRMED_CONSTANT,base_flat4y_r250k;base_flat4y_r1m;base_flat2y_r1m;base_post2018_r1m;base_eval2024,"n_distinct=1 = 'present' on all 5 base partitions (flat4y r250k+r1m, flat2y r1m, post2018 r1m, eval2024). Never takes 'absent' in any built frame.",factory/blocks.py:212
has_corrosion_history,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=0.0. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.","autosafe/feature_engineering_v55.py:510,514"
has_damage_history,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=0.0. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.","autosafe/feature_engineering_v55.py:510,514"
has_wear_history,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=0.0. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.","autosafe/feature_engineering_v55.py:510,514"
make_fail_rate_smoothed,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=0.28. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.","autosafe/feature_engineering_v55.py:692,694,728"
mileage_cohort_ratio,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=1.0. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.","autosafe/feature_engineering_v55.py:642,647,649,661"
model_fail_rate_smoothed,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=0.28. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.","autosafe/feature_engineering_v55.py:685,687,729"
segment_fail_rate_smoothed,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=0.28. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.","autosafe/feature_engineering_v55.py:776,779,781"
station_fail_rate_smoothed,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=0.25. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.",autosafe/feature_engineering_v55.py:584
station_strictness_bias,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=0.0. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.",autosafe/feature_engineering_v55.py:583
station_x_prev_outcome_fail_rate,absent,CONFIRMED_CONSTANT,b0_train_flat4y;b0_train_post2018;b0_train_fullpop;b0_eval2024,"n_distinct=1 on every partition it is fed to; value=0.25. Rows: flat4y 999,999 / post2018 1,375,079 / fullpop 1,004,208 / eval2024 330,665. NULL 0%.",autosafe/feature_engineering_v55.py:585
